Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Aaron Judge,NYY,401,1744,133,292,292,25,0.151376146,0.258600917,0.318431912,0.325028312,0.288858321,0.398275862,0.607290233,0.418905141,,176.3640635,2.65368555,157.6587684,-7.809529901,21.33637899
Freddie Freeman,- - -,465,2071,78,359,276,40,0.114920328,0.154997585,0.207915274,0.352022711,0.319955406,0.404152583,0.52787068,0.394587646,,152.4394409,12.99806221,145.3398136,-26.47141027,19.20499416
Mookie Betts,LAD,403,1828,97,331,243,35,0.114879649,0.160284463,0.260621433,0.288925895,0.281547241,0.372538293,0.542168674,0.388457458,,149.6196888,6.268708135,117.1093037,3.765300274,18.55404368
José Ramírez,CLE,453,1958,89,284,307,72,0.105720122,0.120020429,0.237623762,0.271054493,0.274898078,0.353932584,0.51252184,0.360698672,,135.0140259,19.03861209,99.85347905,9.912927516,17.81241369
Trea Turner,- - -,453,2002,75,304,252,86,0.063436563,0.193306693,0.19145484,0.341201716,0.298539751,0.346,0.489994591,0.357456748,,127.1040553,17.68021526,84.32123093,14.69610757,16.97465378
Francisco Lindor,NYM,433,1864,72,270,257,52,0.095493562,0.193669527,0.189255189,0.279279279,0.252136752,0.332077502,0.441391941,0.334187769,,115.9356239,11.86638877,47.33647263,49.68919039,16.30608551
Jose Altuve,HOU,365,1636,76,292,186,36,0.105134474,0.145476772,0.22407794,0.305039787,0.292971468,0.373700305,0.517049408,0.381243594,,148.5953377,1.734270207,94.76108964,6.00131999,15.84441445
Marcus Semien,- - -,472,2144,95,328,274,54,0.086753731,0.169776119,0.214730291,0.277067921,0.262966804,0.328511432,0.477697095,0.344759994,,119.0606105,12.79278709,62.14256512,22.38794017,15.80087358
Juan Soto,- - -,454,1975,88,291,255,25,0.203544303,0.157974683,0.223438506,0.288907996,0.273019961,0.422706538,0.496458467,0.394136497,,153.1721029,-9.483928902,119.7704977,-30.82283044,15.75270499
Paul Goldschmidt,STL,453,1979,91,293,292,30,0.114704396,0.216776149,0.221449275,0.34264585,0.294492753,0.378036437,0.515942028,0.382475229,,145.9961863,7.405719219,117.2218116,-30.55154061,15.68774447
Shohei Ohtani,LAA,450,1904,124,295,290,57,0.136029411,0.258928571,0.307407408,0.321463897,0.277160493,0.379146919,0.584567901,0.397411753,,156.3868437,6.266156838,133.9163541,-44.45925022,15.46846644
Manny Machado,SDP,434,1853,88,265,292,24,0.09390178,0.182406907,0.216918429,0.296474358,0.27673716,0.343766864,0.493655589,0.354540084,,130.3212645,-1.963463267,65.52331822,19.46708491,15.11670442
Austin Riley,ATL,466,2012,107,287,290,5,0.08001988,0.243538767,0.239821529,0.331142152,0.284439486,0.351888667,0.524261015,0.37199902,,134.9276529,-4.400633791,81.21199524,-1.446073294,15.03607894
Yordan Alvarez,HOU,381,1604,98,257,294,2,0.119077306,0.208229426,0.281659388,0.319037656,0.293304221,0.385910224,0.574963609,0.403862007,,164.288599,-1.591979392,119.2017095,-27.22215515,14.86565181
Dansby Swanson,- - -,458,1938,72,250,258,34,0.083591331,0.253869969,0.181039407,0.3175,0.258709308,0.323180175,0.439748715,0.329149248,,107.2210727,10.431384,26.88457374,50.84754968,14.61822346
Matt Olson,- - -,467,2040,125,304,343,5,0.126960784,0.215686274,0.278510029,0.277731442,0.262464183,0.359803921,0.540974212,0.377751791,,142.2681732,-0.164896767,105.162862,-33.21480759,14.26977683
Corey Seager,- - -,352,1553,80,228,232,6,0.09787508,0.160334835,0.24399126,0.299621928,0.289147851,0.362524146,0.533139111,0.377751147,,142.8228233,-4.507817928,76.02757298,12.11412024,14.13606119
Kyle Tucker,HOU,435,1798,87,241,304,67,0.103448275,0.149054505,0.234177215,0.283642224,0.277848101,0.352546166,0.512025316,0.365780648,,137.4029527,12.62996101,92.6796399,-14.31490177,14.06680052
Xander Bogaerts,- - -,437,1844,56,246,203,29,0.093275488,0.180585683,0.165238678,0.334389857,0.292533659,0.363882863,0.457772337,0.355612013,,125.9854994,4.486497685,61.2467326,14.941019,14.04831461
Nolan Arenado,STL,446,1874,90,225,300,10,0.076307363,0.142475987,0.225882353,0.274063188,0.272352941,0.330309498,0.498235294,0.350017632,,124.3262616,-5.423125262,48.93944624,24.58598688,14.02798222
Ronald Acuña Jr.,ATL,348,1578,76,278,200,112,0.114068441,0.183143219,0.22850845,0.330685203,0.300514327,0.38973384,0.529022777,0.39170558,,147.9179746,13.46992205,107.3231699,-21.72606993,13.982908
Bo Bichette,TOR,441,1932,71,269,260,41,0.053830227,0.204451345,0.17780232,0.344674556,0.296521258,0.336956521,0.474323578,0.348850747,,124.3709921,2.319177582,57.66243962,2.852649689,12.71275781
Sean Murphy,- - -,368,1471,55,176,192,1,0.095173351,0.222977566,0.195618154,0.28318584,0.243348982,0.336054421,0.438967136,0.337318123,,119.0588541,-7.5972994,25.67115299,50.32721949,12.70898281
Will Smith,LAD,384,1592,67,215,234,7,0.110552763,0.176507537,0.206208426,0.277939747,0.260901699,0.356783919,0.467110125,0.353845937,,126.3565527,-3.25426302,48.02970031,21.34765846,12.50108178
Rafael Devers,BOS,439,1892,98,272,299,11,0.089323467,0.196617336,0.243339254,0.310008136,0.283599763,0.355179704,0.526939017,0.371499245,,133.9973424,-4.201182646,71.72808495,-12.33909941,12.49087127
J.T. Realmuto,PHI,399,1604,57,204,213,48,0.07605985,0.235660847,0.192896936,0.315893385,0.262534818,0.331460674,0.455431754,0.337470614,,112.5587828,10.34229241,34.2317467,31.61220247,12.32247873
Brandon Nimmo,NYM,386,1700,47,235,152,11,0.114117647,0.195882352,0.167008898,0.326286764,0.275154004,0.370720188,0.442162902,0.356081643,,130.6418579,-3.608908901,59.725404,1.568088174,12.1197878
Alex Bregman,HOU,395,1725,58,244,243,5,0.124057971,0.12289855,0.17798913,0.273399014,0.265625,0.364057971,0.44361413,0.351609818,,128.1577287,-9.681190408,46.99295599,13.44222999,12.03661101
Fernando Tatis Jr.,SDP,259,1132,67,185,174,51,0.098056537,0.248233215,0.262896826,0.310344827,0.271825396,0.344827586,0.534722222,0.36998941,,137.5977518,13.28966531,67.1192836,14.48411036,11.98693786
Carlos Correa,- - -,418,1810,66,234,221,0,0.107734806,0.203314917,0.184160905,0.306837606,0.267127592,0.348618784,0.451288497,0.345544299,,123.4629538,-15.7660297,33.94540522,20.2589798,11.69168038
Matt Chapman,- - -,435,1777,69,219,199,8,0.116488463,0.296567248,0.194136808,0.293193717,0.227361563,0.323579065,0.421498371,0.324387335,,110.4944464,6.953788836,28.53652824,26.10387003,11.59291563
Bryce Harper,PHI,355,1526,70,239,211,33,0.142201834,0.216906946,0.244340359,0.346756152,0.296643247,0.399606299,0.540983606,0.395558824,,150.397934,-6.917222222,88.56347398,-26.56421199,11.47705451
Cedric Mullins,BAL,418,1757,60,227,192,81,0.083096186,0.191804211,0.187022901,0.303872053,0.267811704,0.334476843,0.454834605,0.339038266,,118.1251694,11.07526815,49.52412744,3.588695914,11.34232453
Julio Rodríguez,SEA,274,1217,58,179,174,61,0.068200493,0.248972884,0.218442256,0.344782034,0.285586392,0.343467543,0.504028648,0.361715086,,138.7843018,10.56348253,65.35153124,5.328650117,11.32466036
Mike Trout,LAA,237,1007,66,162,142,5,0.125124131,0.282025819,0.296639629,0.34496124,0.282734646,0.382323733,0.579374275,0.404296177,,162.5936703,3.14992611,76.30605198,-0.148051225,11.22190319
Bryan Reynolds,PIT,438,1846,73,245,229,24,0.09588299,0.206392199,0.207361963,0.321548821,0.279141104,0.356988082,0.486503067,0.359738141,,125.8109455,3.560348725,62.35980799,-14.01524308,11.20762773
Adolis García,TEX,440,1859,92,262,291,49,0.068854222,0.288327057,0.221436985,0.299263351,0.245583038,0.302313071,0.467020023,0.327940401,,108.5454563,8.102097401,26.6513295,18.71061039,10.90507497
Willy Adames,- - -,416,1761,80,227,248,18,0.096536059,0.268597387,0.211330363,0.283770651,0.236791852,0.312109152,0.448122215,0.326630246,,106.0009753,2.94722728,16.18244424,26.92171001,10.49010841
Tommy Edman,STL,437,1800,36,248,159,86,0.064444444,0.157222222,0.136281042,0.290082028,0.257419745,0.311594202,0.393700787,0.306703585,,95.39161306,17.87952621,7.008224518,31.09560305,10.15570546
Pete Alonso,NYM,453,1923,122,262,337,12,0.098803952,0.201248049,0.267462686,0.255499153,0.253134328,0.341133645,0.520597014,0.362152185,,134.3723648,-9.843012559,70.55823393,-36.02808905,10.13149056
Luis Robert Jr.,CHW,305,1272,60,181,174,34,0.047169811,0.23899371,0.219120135,0.339003645,0.28680203,0.330702446,0.505922165,0.354802096,,127.4034814,7.247093844,49.18245911,8.426362753,10.10532759
Andrés Giménez,CLE,357,1342,35,157,142,59,0.057377049,0.202682563,0.151337793,0.309921962,0.261705685,0.331582895,0.413043478,0.324591118,,110.978607,8.40935703,24.20338163,28.22016966,9.986059309
Vladimir Guerrero Jr.,TOR,467,2043,104,284,298,17,0.099853157,0.156142927,0.224557522,0.29390681,0.284292035,0.361722956,0.508849557,0.370684207,,139.1510087,-13.98789752,81.41884782,-51.31701994,9.980540805
Nico Hoerner,CHC,319,1330,19,165,135,66,0.066165413,0.12330827,0.109555189,0.31629701,0.28583196,0.343115124,0.395387149,0.32313022,,105.1041835,10.27198174,18.46351696,34.35168999,9.957941995
Randy Arozarena,TBR,438,1873,62,256,239,74,0.095034703,0.252002135,0.17915905,0.333333333,0.265082266,0.349706353,0.444241316,0.344514799,,126.1339347,-0.953092304,57.05307696,-21.53115755,9.931387506
Max Muncy,LAD,403,1681,92,251,263,5,0.148720999,0.238548483,0.249283668,0.233624454,0.219197707,0.34384295,0.468481375,0.348714619,,122.4772173,5.033607603,52.37538389,-11.48352593,9.884657727
Yandy Díaz,TBR,400,1669,42,222,194,4,0.124026363,0.141402037,0.148019458,0.322773972,0.291174426,0.384661473,0.439193884,0.360705255,,137.4826324,-14.04866052,59.31956754,-21.9250723,9.482002866
Jake Cronenworth,SDP,437,1849,48,236,207,13,0.092482422,0.171984856,0.165632754,0.275752773,0.245657568,0.328976034,0.411290322,0.32111476,,107.7960309,12.08183334,29.79386627,0.310025036,9.465746783
J.P. Crawford,SEA,437,1870,30,231,150,8,0.112834224,0.16631016,0.117139334,0.304179566,0.260789149,0.350858369,0.377928483,0.323655252,,111.2625454,-2.151331752,23.07841217,7.059520006,9.353548355
Adley Rutschman,BAL,256,1109,32,149,115,5,0.134355275,0.161406672,0.168954593,0.292059219,0.262935586,0.364292155,0.431890179,0.347786476,,126.373569,1.345634841,35.26675219,18.8815999,9.332575621
Wander Franco,TBR,265,1143,30,164,130,40,0.080489938,0.121609798,0.172613307,0.298745724,0.281581485,0.340332458,0.454194792,0.340860553,,123.3117495,7.121702345,38.91616495,14.06503797,9.223298766
Jeff McNeil,NYM,416,1629,25,192,149,16,0.065070595,0.112952731,0.112771739,0.3081761,0.283288043,0.345633456,0.396059782,0.326651943,,111.0425972,2.125599876,22.40333871,10.25167871,9.040993567
Brandon Crawford,SFG,347,1320,40,159,180,15,0.093181818,0.212878787,0.161234991,0.293706293,0.250428816,0.327520849,0.411663807,0.31936623,,104.0133211,3.287550786,10.99851129,33.18690968,8.99414253
Byron Buxton,MIN,238,983,64,160,125,24,0.083418107,0.291963377,0.287827076,0.275797373,0.240045506,0.315361139,0.527872582,0.356424031,,131.1868368,13.51078823,49.72194824,3.44530344,8.786546909
Daulton Varsho,- - -,394,1447,55,180,165,37,0.082239115,0.234277816,0.18495779,0.269356597,0.231772831,0.299791811,0.416730621,0.310059113,,96.51627838,10.74080671,4.503694037,31.83827055,8.763990085
Ha-Seong Kim,SDP,410,1463,36,166,151,54,0.09774436,0.196172248,0.13929961,0.288797533,0.246692607,0.32622161,0.385992217,0.313620352,,103.3281888,8.807973992,14.27950568,21.96231997,8.73483535
George Springer,TOR,354,1555,66,227,190,37,0.095176848,0.18778135,0.198545455,0.286549707,0.261818181,0.338501291,0.460363636,0.344786693,,122.4058315,2.850169433,43.55946675,-10.74609607,8.663689067
Michael Harris II,ATL,240,930,37,147,117,40,0.049462365,0.213978494,0.20229885,0.346938775,0.296551724,0.337284482,0.498850574,0.35816597,,127.1025469,9.230738046,39.22074587,13.57740009,8.645302792
Teoscar Hernández,- - -,422,1756,82,229,282,24,0.058656036,0.27904328,0.211432083,0.343984962,0.275353411,0.323462414,0.486785494,0.345784338,,122.833266,-4.400669595,42.98972613,-16.99158025,8.60423854
Cal Raleigh,SEA,299,1080,57,122,145,1,0.089814814,0.294444444,0.234567901,0.254966887,0.217078189,0.288888888,0.45164609,0.317125409,,107.4147985,-1.500972566,7.314958457,40.30105996,8.53450867
Brandon Lowe,TBR,320,1309,68,185,192,15,0.109243697,0.262796027,0.232924694,0.274084124,0.23642732,0.328495034,0.469352014,0.341746221,,123.0791819,8.67734728,45.42007404,-5.316113621,8.469919821
Ian Happ,CHC,453,1817,60,214,211,32,0.117226197,0.246560264,0.182857143,0.308263695,0.248888888,0.342699724,0.431746031,0.336945522,,114.0853094,3.289108566,34.13091807,-14.46587992,8.269602346
Luis Arraez,- - -,408,1688,20,216,160,9,0.075829383,0.074052132,0.102730819,0.340213523,0.323797139,0.376407824,0.426527958,0.348563893,,124.0756053,-1.250721429,46.98212284,-21.92216675,8.264471532
Justin Turner,- - -,415,1733,63,232,262,10,0.092325447,0.16560877,0.181639344,0.30292887,0.278688524,0.353721869,0.460327868,0.351637281,,122.8032955,-6.628588201,41.51054004,-18.84354162,8.254924173
Chas McCormick,HOU,331,1139,48,150,158,26,0.093942054,0.279192273,0.190854871,0.332307692,0.262425447,0.339191564,0.453280318,0.342711737,,121.7537428,0.621415101,30.01971814,13.42375982,8.228826686
Christian Walker,ARI,422,1731,76,218,233,11,0.096476025,0.206239168,0.208769633,0.273627362,0.248691099,0.32716763,0.457460732,0.337111937,,113.139639,0.843695584,27.67225122,-6.16827035,8.187502016
Nicky Lopez,- - -,382,1293,3,157,87,40,0.079659706,0.13534416,0.065445026,0.302158273,0.259162303,0.32596685,0.324607329,0.291625791,,80.80863375,13.34804527,-14.81543634,52.17140481,8.114712439
Ozzie Albies,ATL,355,1552,68,222,238,35,0.066365979,0.175257731,0.21680791,0.274223034,0.259887005,0.312258064,0.476694915,0.33397095,,108.3191898,13.54278305,29.87006543,-2.292256951,8.055934133
Willson Contreras,- - -,364,1459,62,180,178,15,0.100753941,0.240575736,0.207667732,0.293978748,0.248402555,0.349108367,0.456070287,0.350271972,,123.415196,-10.65930649,30.66935726,-2.122106694,7.939260231
Starling Marte,- - -,324,1372,33,203,146,89,0.061953352,0.193148688,0.140224359,0.342436974,0.287660256,0.34915997,0.427884615,0.339394696,,118.861024,16.28487798,47.20497533,-16.44417685,7.87933847
Bobby Witt Jr.,KCR,296,1273,49,168,170,77,0.051846032,0.194815396,0.19679054,0.295884315,0.266047297,0.307389937,0.462837837,0.328216596,,107.1979859,15.5883234,26.68475551,8.396649837,7.793555261
Thairo Estrada,SFG,300,1156,33,151,131,44,0.052768166,0.192906574,0.149858624,0.310344827,0.268614514,0.322077922,0.418473138,0.321802783,,107.1245329,8.460817263,18.44009619,18.05432004,7.683271098
Ke'Bryan Hayes,PIT,346,1434,26,160,138,39,0.073919107,0.211297071,0.130798479,0.313192346,0.256273764,0.313110181,0.387072243,0.305523518,,90.13241007,1.56081352,-15.58121065,41.91962039,7.613271038
Tyler O'Neill,STL,306,1186,57,172,159,34,0.087689713,0.284991568,0.216318785,0.31641791,0.255218216,0.328836424,0.471537001,0.343167204,,118.8335564,5.35696416,33.82551307,1.363022357,7.593968957
Jorge Polanco,MIN,328,1397,62,187,197,18,0.102362204,0.207587687,0.208603896,0.285554311,0.257305194,0.335719398,0.46590909,0.344310381,,122.4779627,5.519346506,42.96036632,-14.81136918,7.58136453
Ketel Marte,ARI,368,1546,49,209,179,13,0.09767141,0.17141009,0.195335277,0.304307116,0.272594752,0.347994825,0.467930029,0.349864788,,120.9938529,-4.176802448,36.43714542,-13.68989968,7.565744894
Jonah Heim,TEX,327,1188,43,128,165,7,0.074074074,0.196127946,0.174632353,0.25609756,0.232536764,0.289806234,0.407169117,0.300884887,,90.09894821,-2.521029662,-16.8202492,51.72921896,7.563123984
Steven Kwan,CLE,294,1305,11,178,104,39,0.09578544,0.098850574,0.101123596,0.311587147,0.286084701,0.357910906,0.387208297,0.3286009,,113.9422047,6.822289227,27.41400934,2.500720024,7.503600087
Mark Canha,- - -,409,1626,41,212,177,25,0.105781057,0.183886838,0.146394756,0.294736842,0.254187909,0.362853628,0.400582665,0.339009693,,119.8082557,1.339979159,40.01334814,-22.02353321,7.458158926
Gleyber Torres,NYY,414,1713,58,207,192,37,0.088149445,0.189141856,0.16634178,0.295726495,0.262508122,0.32865497,0.428849902,0.328381076,,112.730139,-4.162604584,21.26854933,-6.550265253,7.322493851
Christian Yelich,MIL,408,1747,40,267,178,55,0.131654264,0.233543216,0.139426284,0.328287606,0.258172114,0.359679266,0.397598398,0.332527064,,109.7984894,12.28031738,32.98716008,-21.00418019,7.200219609
William Contreras,- - -,277,1115,44,147,141,6,0.101345291,0.242152466,0.192307693,0.328424153,0.270242914,0.348294434,0.462550607,0.350503006,,121.4507055,-5.798955604,22.64682592,10.36803424,7.173166884
Nathaniel Lowe,TEX,462,1955,61,234,227,11,0.110485933,0.23375959,0.166569936,0.3492981,0.280905397,0.363171355,0.447475333,0.35283522,,125.7059784,-13.41033899,45.14702501,-40.96871996,7.08182602
Jeimer Candelario,- - -,408,1648,50,199,186,8,0.08737864,0.221480582,0.180027174,0.297652582,0.249320652,0.324225865,0.429347826,0.326307417,,107.2261729,-0.495517944,15.23902996,-0.337902904,6.996159759
Kyle Schwarber,- - -,416,1810,122,277,262,11,0.148618784,0.290055248,0.283739302,0.246871444,0.22317314,0.344198895,0.506912442,0.362951874,,129.6800429,-3.340156657,62.00637698,-56.23172998,6.836672312
Ryan McMahon,COL,446,1785,66,227,223,18,0.103081232,0.273389355,0.187974684,0.31436837,0.248101265,0.328291316,0.436075949,0.330661566,,93.78679169,-5.083241403,-18.71475371,25.28649008,6.833371262
Mike Yastrzemski,SFG,381,1434,56,200,168,11,0.10320781,0.251743375,0.208432776,0.268551236,0.225934765,0.313286713,0.434367541,0.321746654,,106.3902405,7.947131596,19.41306395,-1.29208982,6.760738577
Chris Taylor,LAD,374,1388,45,184,168,38,0.105187319,0.317002881,0.176518883,0.332432432,0.238916256,0.326604181,0.415435139,0.322431444,,104.8870599,12.58365685,21.49907631,-2.658100426,6.662237177
Corbin Carroll,ARI,177,714,28,117,84,49,0.086834733,0.208683473,0.224880383,0.319383259,0.275917065,0.353107344,0.500797448,0.364876736,,130.4547759,13.82393436,40.51976697,1.336349964,6.652682788
Javier Báez,- - -,411,1658,57,200,212,39,0.046441495,0.273220747,0.162127108,0.301633045,0.240596627,0.287439613,0.402723735,0.297977467,,88.64064341,8.065004145,-13.40635473,23.6087153,6.615601261
Eugenio Suárez,- - -,444,1842,83,210,254,2,0.104777415,0.305646036,0.202753442,0.278806584,0.221526908,0.313789359,0.42428035,0.320845204,,105.6910197,-8.678665931,1.843398,0.856390275,6.566985068
Max Kepler,MIN,356,1385,50,176,157,13,0.101805054,0.189169675,0.183908046,0.250817884,0.229885057,0.314801444,0.413793103,0.315783181,,102.8720036,1.000940291,5.931717388,11.75271034,6.492276523
Lars Nootbaar,STL,270,922,32,136,98,16,0.14099783,0.201735357,0.187419769,0.28245614,0.24775353,0.353260869,0.435173299,0.342901052,,119.9864196,5.105927022,27.32389298,5.157820225,6.482305902
Whit Merrifield,- - -,438,1833,32,231,195,81,0.060556464,0.154391707,0.117821196,0.302142857,0.269390171,0.312602291,0.387211367,0.303555407,,91.15096936,11.62124035,-7.540333731,9.920084519,6.449603997
Jazz Chisholm Jr.,MIA,270,1087,50,154,146,57,0.071757129,0.287028518,0.210313448,0.313880126,0.251769464,0.310249307,0.462082912,0.330463518,,107.6119338,10.21168828,19.68623097,6.777411044,6.432076943
Elvis Andrus,- - -,399,1492,26,163,136,42,0.063672922,0.156836461,0.115720524,0.282142857,0.248908296,0.302419354,0.36462882,0.292655501,,88.74342574,12.32832288,-8.386166204,21.30726039,6.425262052
Isaac Paredes,- - -,266,986,50,120,139,1,0.106490872,0.170385395,0.225616921,0.225705329,0.227967097,0.328600405,0.453584018,0.339223721,,122.4772287,-2.912207692,23.22830721,6.888102978,6.387661316
Taylor Ward,LAA,297,1210,45,166,145,10,0.098347107,0.210743801,0.183191691,0.306095979,0.265344664,0.34602649,0.448536355,0.345199847,,121.1895178,-0.798295112,28.49582993,-9.27000905,6.105918845
Trent Grisham,SDP,426,1580,45,182,163,34,0.114556962,0.265189873,0.161645849,0.265486725,0.209404849,0.308870453,0.371050698,0.300511391,,93.63812132,11.11522413,-0.62054783,7.152579904,6.098985366
DJ LeMahieu,NYY,401,1737,37,208,147,8,0.110535405,0.160046056,0.118766404,0.293103448,0.258530183,0.343894009,0.377296587,0.319360559,,106.3424408,-11.70440598,0.824995361,0.539929807,6.098232807
Tim Anderson,CHW,316,1389,24,194,111,44,0.043916486,0.207343412,0.106382979,0.348560079,0.284954407,0.32037437,0.391337386,0.309993979,,96.18433814,7.847764746,1.429144123,11.5490303,6.076577111
Danny Jansen,TOR,228,754,43,104,125,1,0.086206896,0.198938992,0.250374812,0.240083507,0.236881559,0.317397078,0.487256371,0.343154114,,120.9044448,0.964038751,19.15238533,14.55680978,6.010353195
Austin Hays,BAL,409,1637,52,211,193,10,0.05864386,0.212583995,0.178381963,0.30796777,0.262599469,0.313953488,0.440981432,0.325040591,,108.7798877,-3.98656445,13.08692529,-8.44573009,6.000460097
Alejandro Kirk,TOR,311,1112,28,108,124,0,0.10971223,0.10971223,0.13003096,0.278113663,0.266253869,0.353417266,0.396284829,0.331181576,,114.1576867,-16.77534663,0.943908145,20.33143108,5.982779314
Ty France,SEA,437,1875,48,223,212,1,0.064533333,0.165866666,0.143287177,0.308980213,0.273329319,0.349519743,0.416616496,0.336241481,,119.9110404,-14.17809978,29.93982035,-34.20089082,5.959656385
Jeremy Peña,HOU,274,1144,32,151,112,22,0.054195804,0.222902097,0.147867298,0.310077519,0.257819905,0.306678383,0.405687203,0.310075768,,99.89855843,3.627041308,3.384971713,16.35407232,5.906347518
Wilmer Flores,SFG,406,1460,59,179,180,1,0.093150684,0.149315068,0.191176471,0.264591439,0.25619195,0.332876712,0.447368421,0.337112143,,116.8191075,-7.17125504,23.28912392,-15.71296179,5.758787968
Harrison Bader,- - -,287,1058,28,127,120,46,0.055765595,0.194706994,0.142126789,0.288563829,0.250511247,0.298959318,0.392638036,0.29788038,,89.12210113,10.90033648,-2.530738762,23.30171737,5.721683665
Kevin Kiermaier,- - -,303,980,19,133,94,28,0.074489795,0.243877551,0.142857143,0.32445141,0.254218222,0.315628192,0.397075365,0.309483776,,100.0612171,3.783263087,4.038823058,19.2186268,5.673379114
Anthony Rizzo,- - -,370,1545,66,195,177,12,0.093851132,0.184466019,0.19790105,0.254288597,0.238380809,0.337216828,0.436281859,0.336362554,,117.1064255,-9.070993748,21.70773775,-18.43466997,5.581839178
Yoán Moncada,CHW,331,1369,34,148,148,6,0.097151205,0.266617969,0.144617913,0.321167883,0.24486442,0.325292397,0.389482333,0.314009404,,99.04121385,0.948136872,0.445420355,8.559280038,5.535117389
Joey Gallo,- - -,390,1358,78,177,164,10,0.15832106,0.381443298,0.240707964,0.236940298,0.181415929,0.317378497,0.422123893,0.322418455,,106.4572823,5.653871501,16.88433465,-7.725075424,5.531674249
Brandon Belt,- - -,272,1061,53,140,120,4,0.136663524,0.299717247,0.233853007,0.320150659,0.248329621,0.3600377,0.482182628,0.361682223,,132.5378526,-3.470583671,39.64117533,-20.3867898,5.521904964
Brandon Marsh,- - -,328,1158,23,128,125,25,0.086355785,0.328151986,0.142857143,0.386895475,0.261583011,0.329575021,0.404440154,0.319855451,,101.7303623,8.567171339,11.75744743,3.931883216,5.506482004
Myles Straw,- - -,448,1723,5,209,106,68,0.092861288,0.174114915,0.062459336,0.294212218,0.24137931,0.312718786,0.303838646,0.277974676,,77.35313975,17.98565474,-27.42610486,23.84118357,5.503547232
Adam Duvall,- - -,314,1189,69,148,201,9,0.065601345,0.314550042,0.248852158,0.276758409,0.229568411,0.287636669,0.478420569,0.324069343,,102.1773283,2.807062078,6.123100452,7.969753921,5.478685291
Michael A. Taylor,- - -,386,1338,41,152,144,31,0.066517189,0.277279521,0.139705882,0.313032886,0.243464052,0.298048048,0.383169934,0.296976398,,86.26928175,3.31612081,-18.66250912,27.90056908,5.461551263
Josh Rojas,- - -,358,1380,23,178,137,43,0.100724637,0.227536231,0.123762376,0.33145434,0.261551155,0.336017569,0.385313531,0.316737039,,99.54572502,14.88006664,13.74247514,-7.56742923,5.412033422
Amed Rosario,- - -,428,1783,28,230,184,45,0.047672462,0.183398766,0.122765196,0.326836581,0.276519666,0.312955692,0.399284862,0.308852859,,99.21354516,0.956917604,-0.965378271,-5.675380111,5.407789981
Anthony Santander,BAL,403,1691,78,208,223,5,0.078060319,0.213483146,0.21076822,0.268915223,0.244911359,0.311834319,0.455679579,0.329624522,,112.5579475,2.26672277,26.64350489,-30.14300048,5.39473201
Bryson Stott,PHI,268,1065,25,134,108,41,0.067605633,0.169014084,0.135523614,0.298200514,0.263860369,0.317027281,0.399383983,0.312010926,,96.05939636,9.557478731,4.946916504,12.4100498,5.394113054
Travis d'Arnaud,ATL,234,919,36,112,124,0,0.057671381,0.217627856,0.189411765,0.279220779,0.244705882,0.299238302,0.434117647,0.317155186,,99.36855327,-6.123719617,-7.682339218,27.93835974,5.319343297
José Abreu,- - -,438,1882,60,226,273,1,0.086078639,0.196599362,0.164358819,0.308553157,0.268512944,0.343783209,0.432871763,0.336898704,,116.2570153,-10.07273867,25.12986144,-37.10391223,5.275466337
Alex Verdugo,BOS,430,1819,37,242,191,11,0.074216602,0.147333699,0.141389728,0.311127379,0.279154078,0.335349092,0.420543806,0.326586413,,103.0995074,-0.71242016,6.04433566,-14.63584971,5.262596706
Dylan Carlson,STL,353,1362,31,162,134,10,0.093979441,0.216593245,0.150880134,0.298185941,0.246437552,0.328434974,0.397317686,0.317205972,,102.0954315,4.074125141,7.888869025,-2.765714169,5.235586106
Hunter Renfroe,- - -,409,1642,80,211,228,2,0.077344701,0.228989037,0.220361688,0.278360343,0.249162759,0.309146341,0.469524447,0.332726574,,109.1832346,-5.649731852,12.00550297,-16.87173846,5.230779148
J.D. Martinez,- - -,387,1656,70,221,247,1,0.083333333,0.259057971,0.222745626,0.337313432,0.275235531,0.33716707,0.497981157,0.353804002,,123.1551835,-12.68917171,33.31863157,-37.23791743,5.172894448
Jose Trevino,- - -,259,823,20,77,88,3,0.042527339,0.171324422,0.118404119,0.264516129,0.236808236,0.271951219,0.355212355,0.273026134,,73.65824124,-8.20567255,-34.313628,56.87153006,5.165247634
Gunnar Henderson,BAL,172,701,31,103,97,10,0.095577746,0.2553495,0.229299363,0.311163895,0.257961783,0.330955777,0.487261146,0.348360911,,125.1686086,3.666570031,24.60786008,2.917778015,5.13478376
Brandon Drury,- - -,302,1126,53,146,171,2,0.058614564,0.239786856,0.222007722,0.299168975,0.259652509,0.310834813,0.481660231,0.338623473,,115.133485,-8.507464585,11.50549766,-0.236897983,5.084800986
Jose Siri,- - -,226,738,36,121,89,29,0.055555555,0.345528455,0.210218978,0.293969849,0.223357664,0.272727272,0.433576642,0.301770391,,95.98765658,9.969088573,7.090765521,18.02253987,5.037417116
Buster Posey,SFG,113,454,18,68,56,0,0.123348017,0.191629955,0.194936709,0.349315068,0.303797468,0.389867841,0.498734177,0.378886765,,140.6864554,-2.948350106,20.56716951,13.83944035,4.981915178
