Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Zach Reks,- - -,22,44,0,5,3,0,0,0.386363636,0.022727273,0.333333333,0.204545454,0.204545454,0.227272727,0.18937018,,19.08824499,-0.230292629,-4.619848601,-1.828381687,-0.520259151
Rio Ruiz,- - -,62,141,3,11,10,2,0.085106382,0.269503546,0.104,0.209302325,0.168,0.242857142,0.272,0.230824762,,36.83601302,0.007591987,-11.08774765,1.090877727,-0.520476774
Michael Busch,LAD,27,81,2,9,7,1,0.098765432,0.333333333,0.125,0.227272727,0.166666666,0.24691358,0.291666666,0.240469883,,48.58097456,0.584607851,-4.582417925,-3.415699899,-0.522422568
Alex Jackson,- - -,57,163,3,13,12,0,0.079754601,0.490797546,0.090909091,0.3,0.146853146,0.251533742,0.237762237,0.226305226,,37.4969924,-0.115092837,-13.00165823,2.209828027,-0.533033543
Kelvin Gutiérrez,- - -,97,328,3,25,23,1,0.070121951,0.25609756,0.08,0.300469483,0.223333333,0.287461773,0.303333333,0.264308125,,62.6889079,-2.194717991,-16.95521784,0.527527507,-0.542768833
Eric Sogard,CHC,78,180,1,16,12,3,0.05,0.166666666,0.065088757,0.292857142,0.24852071,0.283333333,0.313609467,0.2594749,,60.68587021,-1.8630688,-10.87193305,-0.598942041,-0.542932405
Brad Miller,- - -,248,685,28,81,87,7,0.106569343,0.281751824,0.174055829,0.271794871,0.22003284,0.303649635,0.394088669,0.304207784,,90.16385039,-0.650546338,-7.984286864,-19.63494835,-0.550527591
Shed Long Jr.,SEA,34,121,4,13,17,1,0.074380165,0.322314049,0.162162162,0.264705882,0.198198198,0.258333333,0.36036036,0.268448572,,71.84390386,-1.075295482,-5.246484208,-4.398219943,-0.551408095
David MacKinnon,- - -,22,57,0,2,6,0,0.105263157,0.298245614,0,0.205882352,0.14,0.228070175,0.14,0.181042474,,10.37090267,0.146191961,-5.602806589,-1.478778027,-0.552904403
Masyn Winn,STL,24,89,1,7,5,2,0.056179775,0.168539325,0.061728395,0.196969696,0.172839506,0.218390804,0.234567901,0.203155581,,24.07174104,0.154039055,-8.229458004,-0.400290012,-0.558259257
Adam Eaton,- - -,84,288,6,38,30,3,0.076388888,0.246527777,0.125984252,0.252808988,0.200787401,0.28169014,0.326771653,0.270674981,,68.25959572,1.187803788,-10.00417742,-5.463656902,-0.561564918
TJ Hopkins,CIN,25,44,0,7,1,1,0.045454545,0.386363636,0,0.291666666,0.170731707,0.227272727,0.170731707,0.188519017,,6.079327775,-0.076928101,-5.20371938,-1.949822009,-0.563429152
Matt Adams,COL,22,40,0,3,2,0,0.1,0.225,0.027777778,0.222222222,0.166666666,0.25,0.194444444,0.197745543,,5.091947294,-1.027380159,-5.860325959,-1.132271022,-0.566226561
Lewin Díaz,MIA,98,302,13,28,24,1,0.05629139,0.28807947,0.173758865,0.211956521,0.184397163,0.231788079,0.358156028,0.253174819,,57.38367289,-0.882355232,-16.14905087,0.592300177,-0.570605994
Tim Beckham,MIN,12,25,0,1,1,0,0,0.36,0,0.125,0.08,0.08,0.08,0.070708079,,-65.91223446,-0.408278166,-5.075804123,-1.183771968,-0.573620311
Jonathan Araúz,- - -,70,182,7,15,22,0,0.076923076,0.247252747,0.148148148,0.162162162,0.154320987,0.220338983,0.302469135,0.230206408,,41.35889607,0.25446124,-12.78100357,1.018220413,-0.579261337
Martín Maldonado,HOU,346,1184,40,110,114,0,0.08277027,0.313344594,0.147198481,0.234108527,0.181386514,0.260051325,0.328584995,0.261234573,,65.26093671,-11.6342404,-60.59384854,14.87433052,-0.579624442
Lucius Fox,WSN,10,28,0,2,2,1,0.035714285,0.321428571,0,0.125,0.08,0.115384615,0.08,0.094478692,,-48.86450698,0.287582764,-4.555206074,-1.957875103,-0.584478958
Michael Chavis,- - -,219,646,19,70,65,3,0.03869969,0.31114551,0.148450245,0.314070351,0.234910277,0.266253869,0.383360522,0.279983632,,74.42567926,-0.003928064,-19.63734014,-7.760574847,-0.585910195
