Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
Paolo Espino,WSN,5,14,1,80,38,227,7.414097197,2.061674087,1.744493458,0.305555556,0.73051948,0.371669,0.14814815,88.80886485,4.916299745,,4.741975907,4.339700525,0.934783004
John King,- - -,10,10,0,97,0,131,6.045802583,2.335878271,0.687023021,0.3150358,0.68862275,0.63270142,0.13513514,92.43623352,3.847328916,,3.712520296,3.638757119,0.93202084
Brett Anderson,MIL,4,9,0,24,24,96,5.437500432,2.625000209,1.031250082,0.293548387,0.68610635,0.57507987,0.16923077,89.2944242,4.218750335,,4.388784219,4.093821052,0.924668908
Trevor Richards,- - -,11,5,1,165,7,193.2,11.89673175,4.135973147,1.487091469,0.279816514,0.71073559,0.31317495,0.14159292,92.96177167,4.554217622,,4.110718156,3.869078505,0.917378172
Duane Underwood Jr.,PIT,4,9,3,114,1,154.1,7.930886281,3.673866439,0.758099424,0.318777293,0.66729323,0.45415778,0.09489051,94.71236947,4.490281203,,3.894972199,4.26540743,0.909047652
Tyler Matzek,ATL,4,6,1,111,0,106.2,9.53437625,5.56875073,0.506250066,0.231660232,0.7523511,0.36964981,0.05454545,95.20824219,2.953125387,,3.727702921,4.658868012,0.904977992
Jalen Beeks,TBR,4,6,3,71,15,101.1,9.947369482,3.730263556,0.976973788,0.294339623,0.70826307,0.45620438,0.1122449,95.00552211,4.174342551,,3.703988666,3.805850653,0.903228492
Michael Pineda,- - -,11,15,0,33,32,156,6.576923399,1.673077005,1.730769315,0.293995859,0.76397516,0.39566929,0.14851485,90.62055974,4.269230978,,4.787417884,4.440967057,0.894080833
James Karinchak,CLE,11,8,14,136,0,128.1,13.04415714,5.329870658,1.19220791,0.234375,0.81360947,0.33579336,0.13492063,95.64456568,3.296104223,,3.916574782,3.809462663,0.892617673
Dillon Tate,BAL,4,10,8,129,0,141.1,6.941039484,2.483491192,0.827830397,0.25990099,0.70026178,0.58554217,0.12871287,95.24630917,3.693397157,,3.918311937,3.884950594,0.888456672
Scott Alexander,- - -,7,5,3,88,12,79,5.354431673,1.82278525,0.569620391,0.280155642,0.67045455,0.64341085,0.10416667,,3.417722344,,3.526507767,3.714398287,0.884648541
Brock Burke,TEX,12,8,0,102,0,140.2,8.893365813,2.111374618,1.343602029,0.279255319,0.8008982,0.3907455,0.12804878,94.9732123,2.943128255,,3.927104701,3.806575666,0.883193761
Justin Topa,- - -,5,4,2,79,0,73,7.397261627,2.589041569,0.739726163,0.315068493,0.64732143,0.56756757,0.10909091,,3.945206201,,3.610773151,3.798229259,0.874979023
Luke Jackson,- - -,4,4,0,102,0,94.1,10.49470127,4.197880509,0.858657377,0.26754386,0.86206897,0.52136752,0.12328767,95.47959939,2.289753005,,3.602047889,3.699362781,0.872241676
Matthew Liberatore,STL,5,7,0,26,18,91.2,6.970909792,4.123636778,0.883636453,0.331034483,0.64102564,0.41216216,0.08571429,94.08682165,5.596364199,,4.502259253,5.044789832,0.863529381
Anthony Bender,MIA,4,5,9,82,1,80.2,9.818183288,3.12396741,0.892562117,0.278350515,0.79254079,0.50746269,0.1509434,97.56645472,2.900826881,,3.565319386,3.393045973,0.859815474
Gabe Speier,- - -,2,3,1,88,1,76,8.881582068,1.776316414,0.947368754,0.308823529,0.74873096,0.5215311,0.13333333,94.59585395,3.315790639,,3.358002888,3.256589072,0.858984973
Lou Trivino,- - -,9,16,33,135,0,127.1,9.471206127,4.099477279,0.77748707,0.318051576,0.72421784,0.5,0.10185185,95.73120605,3.746074065,,3.719054916,3.998820015,0.854572069
David Price,LAD,7,2,3,79,11,114,7.500001004,2.763158265,1.105263306,0.298550725,0.80645161,0.52259887,0.13333333,92.7726356,3.473684675,,4.10579455,4.047182945,0.839876059
Trevor Gott,- - -,3,8,1,105,0,100,9.270001414,2.700000412,1.080000165,0.3,0.64236111,0.42068966,0.10714286,94.55293012,4.230000645,,3.772509949,3.97987035,0.83963488
Vince Velasquez,- - -,10,16,0,60,38,207,9.000000415,3.826087133,1.652173989,0.279569892,0.69126378,0.32711864,0.13768116,93.39263172,5.30434807,,4.928548211,4.722606866,0.836553022
Mason Miller,OAK,0,3,0,7,6,26.1,10.25316505,3.759493852,0.341772168,0.253968254,0.6993007,0.19047619,0.02941176,98.80533854,3.417721684,,2.956017924,4.605155611,0.824353337
Kyle Nelson,- - -,9,4,0,117,2,99.1,9.241613962,3.171142046,0.996644643,0.296296296,0.73756432,0.38602941,0.10377358,92.02036513,3.805370455,,3.820341373,4.09477818,0.822101994
Lucas Gilbreath,COL,5,2,1,94,1,85.2,9.770429611,5.147860763,0.73540868,0.288990826,0.73555166,0.4573991,0.09210526,93.66689922,3.782101785,,3.923221789,4.31683775,0.815450341
Diego Castillo,- - -,12,8,23,128,0,121.1,10.01373731,3.41208827,1.186813311,0.243986254,0.71669477,0.48184818,0.14814815,95.50682544,3.41208827,,3.974828178,3.704493354,0.815044247
Alex Faedo,DET,3,10,0,27,24,118.1,7.757746812,3.422535358,1.445070485,0.272189349,0.67732116,0.33802817,0.11875,92.88502997,4.943662184,,4.74790311,4.789452472,0.806188986
Taj Bradley,TBR,5,7,0,19,19,90.2,11.71323562,3.573529512,1.886029465,0.321585903,0.67382813,0.35102041,0.18627451,96.2642307,5.558823685,,4.60540368,3.748218409,0.79563874
Ty Blach,COL,4,1,1,41,11,108.1,5.566154303,2.326154037,1.163077019,0.330555556,0.68989071,0.40650407,0.10769231,90.18801285,5.150769654,,4.556424364,4.773659159,0.772294782
Robert Suarez,SDP,8,3,1,65,0,68.1,10.66829407,3.556098024,0.92195134,0.213333333,0.7807309,0.44230769,0.1372549,97.81358886,2.897561353,,3.478957059,3.291459835,0.769133322
Tony Watson,- - -,7,4,0,62,0,57.1,6.906978506,2.825582116,0.627907137,0.226415094,0.61068702,0.45625,0.07142857,92.57909042,3.924419606,,3.483987691,4.300341604,0.768742204
Jake Irvin,WSN,3,6,0,23,23,118.1,7.453521447,3.878873406,1.521126826,0.271641791,0.76760563,0.42209632,0.13986014,94.51582451,4.335211454,,5.296435213,5.104828539,0.755725861
Richard Rodríguez,- - -,5,4,14,64,0,64.1,5.875648133,1.398963841,1.119171073,0.222222222,0.80708661,0.30964467,0.07476636,93.30940335,2.937824066,,4.040500513,5.358429335,0.748575747
Julian Merryweather,- - -,5,5,3,103,2,106.2,10.63125139,3.459375454,1.265625166,0.307116105,0.75206612,0.42446043,0.13274336,97.83538014,4.218750553,,3.943277309,3.831891077,0.747478354
Jorge López,- - -,13,23,26,157,25,247.2,8.358008805,3.924630221,1.308210074,0.316312057,0.70843091,0.51902174,0.1773399,95.67317907,5.08748362,,4.816796644,4.297134677,0.746269044
Peter Strzelecki,- - -,5,6,1,67,0,72,9.625001912,3.375000671,0.625000124,0.29015544,0.73333333,0.34871795,0.0625,92.92396022,3.62500072,,3.452059153,4.298702892,0.744652558
Brad Hand,- - -,13,11,27,178,0,159.1,8.642260621,3.897490084,0.903765817,0.28929385,0.69699903,0.39101124,0.09756098,92.95756304,3.953975448,,4.185935915,4.583839837,0.740418561
Codi Heuer,- - -,7,4,2,65,0,67.1,7.485149928,3.074258006,0.935643741,0.300518135,0.69825436,0.43589744,0.10294118,95.96860885,4.277228531,,3.972014472,4.402360463,0.739354625
Penn Murfee,SEA,5,2,0,80,1,83.1,9.936001971,3.0240006,0.864000171,0.226130653,0.76923077,0.36097561,0.08695652,88.87321299,2.700000536,,3.293191611,3.694577082,0.737612635
JT Chargois,- - -,9,1,1,118,6,114,7.973685545,3.157895265,0.789473816,0.252525253,0.79831933,0.51147541,0.09708738,95.65844686,2.842105739,,3.820255447,4.194798444,0.724574265
Brock Stewart,MIN,2,0,1,25,0,25.2,12.2727294,3.857143526,0.350649411,0.274509804,0.9765625,0.35294118,0.04347826,97.43618692,0.701298823,,2.441633447,3.422337602,0.723579705
Josiah Gray,- - -,16,24,0,70,69,367.1,8.869328801,4.263158042,1.911070847,0.270020534,0.79096045,0.34903846,0.16182573,94.29279053,4.7286753,,5.548593098,4.895383921,0.716351252
Dylan Bundy,- - -,10,17,0,52,48,230.2,6.94508681,2.419075181,1.716763032,0.280400572,0.67361668,0.36499322,0.13836478,89.70148667,5.345375804,,4.994899308,4.684029565,0.709918208
Dennis Santana,- - -,6,12,1,127,1,124,8.129034384,4.862904497,0.580645313,0.288184438,0.61699651,0.47293447,0.07079646,96.75080074,4.862904497,,3.997278571,4.636097419,0.708930608
Lucas Erceg,OAK,3,4,0,45,0,49.1,10.94594792,5.837838891,0.182432465,0.359375,0.62200957,0.46511628,0.02325581,97.93443984,5.290541495,,3.401707324,4.584760092,0.704708874
Allan Winans,ATL,1,1,0,4,4,22,10.63636364,1.636363636,0.818181818,0.360655738,0.6870229,0.42857143,0.08333333,89.90270318,4.5,,2.759815407,3.388498519,0.701287866
Josh Winckowski,BOS,8,9,3,70,15,147.1,7.024887484,3.420814775,1.099547606,0.326797386,0.73964497,0.51476793,0.13235294,94.47090583,4.337104447,,4.438326578,4.294453305,0.696026202
Colin Poche,TBR,16,5,8,126,0,114.1,9.446065506,3.542274565,1.180758188,0.232638889,0.77777778,0.32550336,0.10344828,93.13581455,3.069971289,,4.023839854,4.302350315,0.695870638
Nick Ramirez,- - -,2,3,1,42,0,58.1,6.325715251,2.468571805,0.462857213,0.298429319,0.62674095,0.48186528,0.04761905,90.40556488,3.702857708,,3.314234512,4.47576448,0.677653853
Connor Overton,- - -,1,2,0,18,10,59.1,5.764045345,3.488764288,0.910112423,0.274285714,0.65597668,0.38674033,0.08333333,91.79494716,4.853932922,,4.351270575,4.967561201,0.676700578
Spenser Watkins,- - -,7,14,0,40,31,164.1,5.586207199,2.7931036,1.478701906,0.315118397,0.65237226,0.38353765,0.1255814,91.2667718,5.96957436,,5.070570882,5.016710237,0.669951774
Jordan Wicks,CHC,3,1,0,5,5,27,6.666666667,3,0.333333333,0.268292683,0.78431373,0.48148148,0.05263158,92.09104304,2.666666667,,3.259815407,3.946219019,0.668859541
Steven Wilson,SDP,5,4,1,102,1,106,9.339623986,3.990566612,1.188679416,0.22265625,0.77586207,0.24626866,0.08805031,94.87237622,3.481132577,,4.327632803,4.966494006,0.668538347
Sean Doolittle,- - -,3,1,1,62,0,55,9.654547463,3.763637147,1.145454784,0.295302013,0.74018127,0.19607843,0.08235294,93.32273945,4.090909942,,4.03717582,5.068064016,0.66837962
Wily Peralta,DET,6,5,0,47,19,132,6.136364124,4.227273063,0.95454553,0.268170426,0.80166271,0.49509804,0.11023622,94.44112666,2.931818415,,4.691184854,4.932474662,0.663655396
