Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
Sam Bachman,LAA,1,2,1,11,0,17,7.411764706,5.823529412,0,0.333333333,0.75862069,0.58823529,0,,3.176470588,,3.730403642,4.70665434,0.16247429
Emerson Hancock,SEA,0,0,0,3,3,12,4.5,2.25,0.75,0.307692308,0.68493151,0.475,0.06666667,92.67167208,4.5,,4.09314874,5.084348139,0.161799282
Drew Carlton,- - -,2,1,0,20,0,33,7.090909911,2.727273043,1.090909217,0.252631579,0.62874251,0.42105263,0.10526316,91.76037598,3.81818226,,4.211132808,4.51753026,0.159339465
Corey Oswalt,NYM,1,1,0,3,1,10.1,8.709677687,1.741935537,0.870967769,0.379310345,0.79365079,0.20689655,0.07692308,92.19038759,3.483871075,,3.073259926,4.034876824,0.155817753
Tyler Chatwood,- - -,1,3,1,32,0,32,10.68750191,5.906251056,0.562500101,0.3,0.60165975,0.5,0.11764706,95.69636469,5.625001006,,3.951284262,4.076101664,0.155782517
Conner Menez,- - -,1,0,0,9,1,15,9.6,1.8,1.2,0.333333333,0.6043956,0.57446809,0.25,90.95177644,3.6,,3.566193914,2.754920867,0.153936341
Gabe Klobosits,WSN,0,1,0,11,0,11.1,3.970588681,3.970588681,0,0.317073171,0.57894737,0.425,0,94.79940033,5.558824153,,3.875916555,6.833818099,0.150170743
Charlie Barnes,MIN,0,3,0,9,8,38,4.736842343,3.789473874,0.947368469,0.320610687,0.64569536,0.37878788,0.07142857,89.91679113,5.921052929,,5.06477106,6.296462676,0.149945695
Jordan Holloway,MIA,2,3,0,14,4,38.2,8.84482795,6.284483017,0.698275891,0.227722772,0.67622951,0.41346154,0.07692308,95.52855672,3.956896714,,4.303992575,5.067599423,0.145232582
Joey Wentz,DET,5,13,0,30,25,130.1,8.148338391,3.936061765,1.657289164,0.305128205,0.65710872,0.36650485,0.13186813,93.31699348,5.73145836,,5.141033824,5.009691314,0.144460186
Yency Almonte,- - -,4,5,1,130,0,131,8.86259671,4.328244905,1.167939101,0.268436578,0.67211055,0.43943662,0.13709677,94.85752589,4.877863306,,4.622509074,4.505923267,0.14444875
Miguel Díaz,- - -,3,1,1,35,3,52.1,9.974522535,3.955414109,1.375796212,0.221311475,0.81196581,0.4496124,0.18181818,94.57089877,3.095541476,,4.266607342,3.733047181,0.142232521
Jose A. Ferrer,WSN,3,0,0,33,0,30.1,6.527474032,3.263737016,0.890110095,0.277108434,0.76923077,0.57647059,0.15789474,95.57670507,3.560440381,,4.281793664,4.035625394,0.137290567
Kervin Castro,- - -,1,2,0,20,0,25.2,8.415585562,3.857143383,1.051948195,0.333333333,0.68965517,0.4025974,0.10344828,93.63264661,4.909091578,,4.077419762,4.39653423,0.137108484
Patrick Murphy,- - -,0,3,0,31,0,33.2,8.821784094,4.811882233,0.801980372,0.346153846,0.65140845,0.48598131,0.11111111,96.63087905,5.346535815,,4.31875464,4.524709766,0.134396847
Jhonathan Diaz,LAA,2,1,0,10,6,33.1,6.210000592,5.670000541,0.540000051,0.311320755,0.72953737,0.48148148,0.05555556,90.80043764,4.860000463,,4.717004027,5.704385805,0.134306344
Nick Vincent,MIN,1,0,0,7,0,12.2,6.394737163,3.552631757,0.710526351,0.161290323,1,0.19354839,0.05263158,89.25729445,0.710526351,,4.196349963,5.816577445,0.131231859
Carson Spiers,CIN,0,1,0,3,2,10,9.9,6.3,0.9,0.457142857,0.53097345,0.33333333,0.0625,93.26796341,9,,4.459815407,5.815217304,0.130541973
Yunior Marte,- - -,2,2,2,78,0,85.2,8.29961262,3.992218728,1.050583876,0.320158103,0.64754098,0.48473282,0.12658228,97.79997533,5.147860992,,4.426261754,4.35133976,0.130102471
Jake Fishman,MIA,0,0,0,7,0,11,4.90909176,0,0,0.333333333,0.6875,0.46153846,0,,4.0909098,,2.839703682,4.185494282,0.128391623
Jake Faria,- - -,0,0,0,24,3,34.2,9.086539628,4.413462105,1.29807709,0.348623853,0.65454545,0.37837838,0.10416667,92.473859,6.490385449,,4.675214005,5.231092105,0.125635473
Kevin Herget,- - -,1,3,1,17,0,31.1,4.88297907,1.723404378,1.148936252,0.29245283,0.61497326,0.33636364,0.08163265,92.4807595,5.744681259,,4.567314733,5.428740696,0.122719387
Michael Kelly,- - -,1,0,0,15,0,16.2,8.100001236,4.320000659,0.540000082,0.255813953,0.81632653,0.36363636,0.05882353,94.81319948,2.700000412,,3.824443236,4.683485042,0.122479863
Glenn Otto,TEX,7,13,0,39,33,169.2,7.744597801,4.031434472,1.538310522,0.281573499,0.67780873,0.43366337,0.15934066,92.61834902,5.622790184,,5.239638459,4.652208289,0.119643033
Louie Varland,MIN,5,5,0,19,15,90.1,8.568265713,2.291512923,1.992619933,0.288617886,0.79545455,0.41132075,0.18691589,94.75875484,4.583025846,,5.021822854,4.04592379,0.118025672
Adonis Medina,- - -,1,0,1,18,1,31.1,6.606383649,2.872340717,0.574468143,0.355769231,0.65789474,0.50961538,0.07407407,93.10401102,5.457447362,,4.115887185,4.597991855,0.115963249
Evan Marshall,CHW,0,2,0,27,0,27.1,8.560977203,2.963415186,1.64634177,0.315068493,0.66666667,0.40789474,0.15625,93.23967507,5.597562017,,4.633449029,4.320994875,0.114209078
Peter Lambert,COL,3,7,0,27,13,93,7.161290763,2.903225985,1.93548399,0.307971014,0.70535714,0.42567568,0.16393443,93.3885382,5.709677771,,5.58767834,4.97813295,0.113770217
Tim Herrin,CLE,1,1,0,23,0,27.2,10.40964023,3.903615086,0.975903771,0.361111111,0.6443299,0.44444444,0.11538462,96.79128154,5.530121372,,3.874273337,4.024283512,0.113684796
Grant Anderson,TEX,2,1,0,26,0,35.2,7.570095617,3.532711288,1.261682603,0.317307692,0.7173913,0.46296296,0.125,92.96885329,5.046730411,,4.661684966,4.700518082,0.110729769
Danny Young,- - -,0,0,0,11,0,14.2,10.43181999,2.45454588,0.61363647,0.404761905,0.88983051,0.48837209,0.07142857,,2.45454588,,3.196172143,3.796220816,0.110104671
Levi Stoudt,CIN,0,1,0,4,2,10.1,7.838709919,6.96774215,0.870967769,0.405405405,0.57522124,0.44736842,0.09090909,94.6232431,9.580645456,,5.098525141,5.607159483,0.106716839
Drew Smith,NYM,10,10,3,133,1,139.2,9.730311769,3.673031595,1.482100468,0.265306122,0.80246914,0.33150685,0.12777778,95.3716109,3.479714142,,4.537925575,4.494999304,0.102313396
Joe La Sorsa,- - -,1,0,0,21,0,28.2,7.534885141,2.51162838,0.941860643,0.295454545,0.68783069,0.41758242,0.08823529,92.74756877,5.023256761,,4.306327232,4.914256079,0.099886878
Matt Andriese,- - -,2,3,1,34,0,48.1,9.310345807,2.42068991,1.303448413,0.391891892,0.65096953,0.44444444,0.1372549,92.24315234,5.213793652,,4.038999731,4.017947352,0.099489197
Ervin Santana,KCR,2,2,0,38,2,65.1,7.163265446,3.030612304,1.239795942,0.291666667,0.70680628,0.35678392,0.1097561,93.45793675,4.683673561,,4.471054556,4.894692743,0.097482398
Joakim Soria,- - -,1,4,6,41,0,37.1,9.642857718,2.892857315,1.446428658,0.33,0.71100917,0.32380952,0.13636364,92.74305991,5.062500302,,4.16110561,4.151246687,0.095819265
Sammy Peralta,CHW,2,0,0,12,0,14.2,7.363638119,4.90909208,0.61363651,0.304347826,0.64814815,0.36170213,0.05263158,,4.29545557,,4.146179254,5.409786206,0.092069693
Adam Conley,TBR,0,0,0,17,0,19.2,7.322035555,2.745763333,0.915254444,0.24,0.88541667,0.48076923,0.11764706,96.09155884,2.288136111,,4.085288567,4.288381299,0.088609241
Mark Appel,PHI,0,0,0,6,0,10.1,4.354838844,2.612903306,0,0.28125,0.83333333,0.5625,0,94.69956055,1.741935537,,3.015656805,4.305010842,0.086054213
Caleb Baragar,SFG,2,1,2,25,0,23,6.260870604,4.695652953,0.391304413,0.272727273,0.82822086,0.22727273,0.02631579,92.88638874,1.565217651,,4.300469093,6.65028517,0.085519321
Kyle McGowin,WSN,0,0,0,27,0,30,10.50000267,4.200001068,1.500000381,0.222222222,0.76666667,0.33766234,0.14285714,91.26089311,4.200001068,,4.60336782,4.495123607,0.085138269
Antonio Santos,COL,0,1,0,7,0,11.1,7.94117803,3.970589015,0.794117803,0.266666667,0.55555556,0.4516129,0.08333333,95.56711008,4.764706818,,3.875916614,4.597006066,0.084437601
Tyler Cyr,- - -,1,0,0,14,0,15,10.80000208,3.000000578,1.200000231,0.285714286,0.92105263,0.51351351,0.22222222,94.41861731,2.400000463,,3.66214048,2.82897908,0.083984327
Ken Waldichuk,OAK,5,10,1,40,27,164.2,8.471660639,4.263158257,1.475708627,0.307526882,0.69756976,0.39344262,0.1377551,93.69504218,5.301619884,,5.117451239,4.914487805,0.082354486
Burch Smith,OAK,1,1,0,31,0,43.1,5.815385298,2.284615653,1.03846166,0.307692308,0.62962963,0.36486486,0.08333333,93.60943368,5.400000634,,4.208495783,5.151458838,0.08159256
Rony García,DET,3,3,0,18,8,54.2,8.2317077,2.46951231,1.64634154,0.223021583,0.69565217,0.30872483,0.14084507,92.88160147,4.280488004,,4.707758114,4.278359154,0.079601184
Jake Reed,- - -,2,1,1,29,1,27.1,7.902440788,3.621952028,1.317073465,0.329411765,0.47029703,0.40909091,0.11428571,92.34044211,7.573172422,,4.820027258,4.930199353,0.078811184
Chi Chi González,- - -,3,8,0,34,23,128.1,5.18961048,2.524675368,1.683116912,0.323943662,0.657277,0.40540541,0.16107383,92.14941297,6.381818292,,5.422015925,4.970503974,0.078350309
Sean Guenther,MIA,0,1,0,14,0,20.1,6.6393453,4.4262302,0.44262302,0.4,0.50480769,0.47222222,0.04545455,93.2155202,9.29508342,,4.104460498,5.374098407,0.077827781
Tayler Saucedo,- - -,3,2,1,80,0,72.2,7.307341144,3.715597192,0.743119438,0.287735849,0.71428571,0.59624413,0.13333333,93.42743877,4.211010151,,4.241043929,4.20900917,0.074774474
Ian Krol,DET,0,0,0,18,0,18.2,8.678573498,3.857143777,0.964285944,0.362068966,0.74468085,0.44067797,0.11111111,93.78908575,4.339286749,,3.920034301,4.228526425,0.07356751
Tommy Doyle,COL,0,1,0,13,0,20.1,6.196721699,3.983606806,0.885245957,0.278688525,0.63492063,0.46031746,0.125,94.12705804,5.311475742,,4.48932368,4.516570517,0.072605655
Hogan Harris,OAK,3,6,0,14,6,63,8.000000484,4.000000242,1.428571515,0.304812834,0.55952381,0.39690722,0.11627907,92.68185334,7.142857575,,5.021720275,5.223749684,0.071001887
Adrian Morejon,SDP,5,1,0,36,3,47.2,7.363637346,3.020979424,1.321678498,0.302816901,0.6993007,0.37241379,0.109375,96.43159722,4.72028035,,4.488555812,4.622573757,0.069299384
Dominic Leone,- - -,9,13,6,160,4,153.2,8.960955819,4.158352047,1.288503451,0.285714286,0.80131723,0.4088785,0.12790698,95.50742293,3.455531982,,4.476154696,4.445258738,0.069121575
Rafael Dolis,TOR,2,3,3,39,0,32,10.96875196,7.593751358,0.562500101,0.317647059,0.67615658,0.4137931,0.0625,94.78520203,5.625001006,,4.357534335,5.309396632,0.068512939
Derek Law,- - -,6,9,2,76,3,86,7.639536154,4.395349568,1.151162982,0.299610895,0.76086957,0.42585551,0.12790698,95.17555187,3.976744848,,4.815103127,4.789385405,0.067802265
James McArthur,KCR,1,0,0,12,2,15.2,6.319149577,1.148936287,1.148936287,0.29787234,0.43209877,0.625,0.2,93.37609863,6.893617721,,4.089602725,3.489364059,0.067127684
Peyton Battenfield,CLE,0,5,0,7,6,34.2,7.009615899,3.115384844,1.817307826,0.27,0.66298343,0.42990654,0.15909091,91.15557399,5.192308073,,5.365584792,4.847033375,0.064457022
Jared Shuster,ATL,4,3,0,11,11,52.2,5.126582526,4.443038189,1.196202589,0.271084337,0.65028902,0.35714286,0.08860759,91.52437827,5.639240779,,5.386397788,6.147989002,0.062553264
Jon Lester,- - -,7,6,0,28,28,141.1,5.794811529,3.502358617,1.591981189,0.29580574,0.73076923,0.43710021,0.15822785,88.95408405,4.712264321,,5.412958731,5.085854116,0.062324603
Matt Foster,CHW,3,3,2,85,0,84,8.785715882,3.214286298,1.607143149,0.298319328,0.68041237,0.3,0.125,93.77487428,5.142858077,,4.651080344,4.643936284,0.061707802
Robert Gsellman,- - -,0,3,1,25,1,44,5.318182395,2.045454767,1.022727384,0.278571429,0.65306122,0.46478873,0.11627907,94.75548935,4.090909534,,4.263596793,4.394408226,0.061595906
Brandon Pfaadt,ARI,2,8,0,17,16,86,8.162791422,2.720930474,2.093023441,0.305220884,0.70103093,0.31343284,0.16666667,93.65482158,5.860465636,,5.480745836,4.773247428,0.061343148
Jharel Cotton,- - -,6,2,0,53,0,73.2,8.429865417,4.27601869,1.099547663,0.263681592,0.78054299,0.28985507,0.08256881,93.04251577,3.542986915,,4.439578182,5.226798866,0.06032382
Zac Lowther,BAL,1,3,0,11,6,35,7.971428789,3.857142962,1.542857185,0.348623853,0.6294964,0.43478261,0.14285714,90.69825163,6.942857332,,5.332685135,5.140207475,0.059235497
Matt Gage,- - -,0,1,0,16,0,19.2,9.152544888,4.1186452,0.915254489,0.222222222,0.83333333,0.48888889,0.15384615,93.1727094,1.830508978,,3.975951364,3.650696147,0.057185536
Sean Hjelle,SFG,3,3,0,20,0,47,10.14893699,3.829787545,1.148936263,0.427586207,0.57416268,0.54666667,0.21428571,91.85675049,7.085106958,,4.117589729,3.397147012,0.056852587
Kenny Rosenberg,LAA,1,2,0,8,3,33.2,6.950495181,4.811881279,1.069306951,0.320754717,0.73929961,0.38181818,0.09302326,90.80204378,5.079208017,,4.906188698,5.396163484,0.056532456
Joe Jacques,BOS,2,1,1,23,1,26.2,6.750000885,3.375000443,0.675000089,0.357142857,0.68584071,0.64705882,0.0952381,,5.062500664,,4.534815574,4.866771239,0.053859979
Edwin Uceta,- - -,0,3,0,25,1,40.1,9.148761917,4.685951226,1.115702673,0.261682243,0.53061224,0.37272727,0.09615385,93.0995063,5.801653899,,4.441689489,4.942138738,0.048670152
Ben Bowden,COL,3,2,0,39,0,35.2,10.59813386,5.299066932,1.514019123,0.355140187,0.625,0.24074074,0.11111111,92.63420992,6.560749535,,4.852277593,5.336639082,0.04860149
Tommy Nance,- - -,3,4,0,62,2,72.1,10.82488641,4.230415379,1.244239817,0.324324324,0.68041237,0.50520833,0.18867925,94.55354563,5.474655196,,4.22742595,3.589482631,0.047662592
Ray Kerr,SDP,1,1,0,26,0,29.2,10.01123778,3.640450101,1.516854209,0.283783784,0.625,0.37179487,0.15625,96.06687281,5.15730431,,4.515874448,4.060640441,0.046717957
Wade LeBlanc,- - -,0,2,0,18,9,49,5.326531131,3.122449283,1.469387898,0.294478528,0.80547112,0.35502959,0.11764706,87.88298465,4.408163694,,5.394524135,5.72057773,0.043740608
Garrett Cleavinger,- - -,4,5,0,54,1,53,11.37736156,4.245284165,1.358490933,0.26446281,0.70422535,0.42519685,0.16,95.91893662,3.396227332,,4.184232577,3.750221665,0.040510086
Kohl Stewart,CHC,1,1,0,4,3,13.2,7.243902776,3.951219696,1.317073232,0.348837209,0.58558559,0.52272727,0.16666667,91.78682767,5.268292928,,5.218814706,4.865571678,0.039846048
Joe Barlow,TEX,4,4,24,79,0,73.2,7.452489331,3.298642819,1.099547606,0.215,0.72443182,0.36538462,0.09278351,94.51468643,3.054298906,,4.349017613,4.883499164,0.038148992
Brandon Walter,BOS,0,0,1,9,0,23,6.260869565,2.739130435,1.173913043,0.367088608,0.6424581,0.42682927,0.09090909,91.77609253,6.260869565,,4.607641494,5.293192108,0.034104478
Carson Fulmer,CIN,0,0,0,20,0,25.2,8.415585249,4.55844201,1.051948156,0.315068493,0.58201058,0.48,0.11538462,93.69924033,6.662338322,,4.689514793,4.95731022,0.031697758
JD Hammer,PHI,1,1,0,20,0,20,9.900001888,4.950000944,1.350000257,0.321428571,0.77181208,0.42372881,0.14285714,94.21860097,4.950000944,,4.870034447,4.772614661,0.030304706
Edgar Santana,ATL,3,0,0,41,0,42.2,6.960938537,2.531250377,1.47656272,0.243902439,0.73979592,0.49606299,0.18421053,94.43060303,3.585938034,,4.599721836,4.038294271,0.029128673
Chris Devenski,- - -,7,5,1,56,0,60,8.100001674,2.100000434,1.650000341,0.308988764,0.57692308,0.40641711,0.14102564,93.68656221,6.300001302,,4.646148468,4.373803222,0.029044267
Daniel Palencia,CHC,5,2,0,22,0,22.2,9.529413636,5.161765719,1.191176704,0.230769231,0.68548387,0.35849057,0.13043478,98.42680061,4.367647916,,4.715698046,4.679142256,0.021790555
Luke Bard,- - -,1,1,0,9,0,15,4.8,4.2,0,0.166666667,0.8125,0.3902439,0,94.13475773,1.8,,3.845764335,5.030059858,0.020978345
Angel Zerpa,KCR,4,5,0,16,6,48,6.000000238,2.062500082,1.50000006,0.275167785,0.71969697,0.50649351,0.17777778,94.50931409,4.125000164,,4.987520999,4.338485656,0.020151079
Touki Toussaint,- - -,8,11,0,37,26,152,9.059210867,5.506579155,1.361842157,0.253298153,0.72154472,0.49744898,0.184,93.59757241,4.973684398,,5.330718103,4.740773983,0.018769685
Justin Bruihl,- - -,2,2,1,72,2,70.1,5.886256928,3.071090571,0.89573475,0.266666667,0.6888361,0.4549763,0.08974359,88.86710358,4.222749536,,4.494450492,4.98639189,0.017845768
Austin Pruitt,- - -,2,8,1,83,7,111,5.918920038,1.702703025,1.459459735,0.24251497,0.74642127,0.40857143,0.12328767,91.63373454,3.648649338,,4.621854718,4.591454271,0.016962782
Darren O'Day,- - -,2,2,0,40,0,32.1,10.29897191,3.896908289,1.39175296,0.280487805,0.75675676,0.34482759,0.11904762,85.8081939,3.896908289,,4.337619993,4.373230717,0.014409117
Janson Junk,- - -,1,3,0,8,7,29.1,7.056818717,2.147727436,2.147727436,0.315789474,0.64327485,0.47474747,0.21212121,92.50960563,5.215909487,,5.417953155,4.237897706,0.013708945
Eduardo Salazar,CIN,1,0,0,8,0,12.1,3.648648743,3.648648743,0,0.340425532,0.56,0.5106383,0,93.58537801,8.027027234,,4.638193821,6.522093864,0.013611842
Grant Dayton,ATL,0,0,0,13,0,13,9.692310536,4.153847373,1.384615791,0.333333333,0.6043956,0.25641026,0.11764706,91.37446079,6.230771059,,4.400803714,4.708046585,0.01302725
Caleb Kilian,CHC,0,3,0,6,4,16.2,7.560000288,7.560000288,0,0.428571429,0.41860465,0.50909091,0,94.38655416,12.42000047,,4.899594077,6.441837148,0.012474015
Ronny Henriquez,MIN,0,1,0,3,0,11.2,6.942857521,2.31428584,0.771428613,0.2,0.77586207,0.52777778,0.07142857,93.24347479,2.31428584,,3.969573906,4.631731512,0.01116931
Deivi García,- - -,0,3,1,6,2,16.2,7.560000721,6.480000618,1.080000103,0.26,0.61068702,0.25,0.06451613,93.95382619,4.320000412,,5.614924991,7.236092198,0.008315992
Demarcus Evans,TEX,0,2,0,25,0,26.1,11.27848319,5.468355487,1.367088872,0.303030303,0.70621469,0.1884058,0.1,91.24346905,5.126583269,,4.575097685,5.280458014,0.006228054
Reymin Guduan,OAK,0,0,0,11,0,14.1,3.139535162,3.139535162,0.627907032,0.333333333,0.57522124,0.35185185,0.05882353,94.2147568,6.279070324,,4.425848187,5.611487094,0.005229488
Seth Elledge,STL,0,0,0,11,0,11.2,8.485716135,5.400001177,0.77142874,0.375,0.76530612,0.36363636,0.07692308,94.16908023,4.628572438,,4.455748688,5.307466672,0.005214315
Mike Wright Jr.,CHW,0,1,0,13,0,18,5.500000583,5.500000583,0.500000053,0.285714286,0.62937063,0.47368421,0.05263158,92.09905909,5.500000583,,4.836700966,5.976861109,0.004890157
Anthony Gose,CLE,3,0,0,28,0,27.2,12.03614693,5.204820294,1.301205073,0.224137931,0.70422535,0.32786885,0.14285714,97.84057036,3.90361522,,4.174504247,3.823985678,0.004678309
Lewis Thorpe,MIN,0,2,0,5,4,15.1,3.521739203,4.108695737,1.173913068,0.235294118,0.54945055,0.52830189,0.13333333,89.07394856,4.695652271,,5.452642865,5.48299712,0.00318551
Fernando Abad,- - -,1,0,0,22,0,24,4.500001073,3.750000894,1.125000268,0.348314607,0.72864322,0.43956044,0.09677419,93.51336914,5.250001252,,5.068726854,5.674690772,-0.000915304
Jake Brentz,KCR,5,5,2,80,0,69.1,11.03365602,6.100962741,1.038461743,0.284023669,0.63765182,0.47093023,0.13793103,96.92418324,5.192308716,,4.550218772,4.509791347,-0.004158169
Nick Margevicius,SEA,0,2,0,5,3,12,9.000000715,5.250000417,1.500000119,0.289473684,0.27472527,0.4,0.125,89.9400681,8.250000656,,5.336700961,5.522517145,-0.00774397
Tyler Thornburg,- - -,0,1,0,14,0,19,6.631579946,5.2105271,0.473684282,0.25,0.67669173,0.32786885,0.03225806,93.52378162,3.315789973,,4.217694326,5.948823614,-0.008340895
Daniel Castano,MIA,1,5,0,17,11,59,5.644068162,3.050847655,1.525423827,0.308080808,0.675,0.44554455,0.15873016,91.26219482,5.186441013,,5.258421252,4.761665101,-0.011556342
Noah Davis,COL,0,2,0,7,4,21.2,8.307692551,4.569230903,2.076923138,0.416666667,0.55,0.50649351,0.2,95.63119507,9.969231062,,6.068397747,4.966804227,-0.013632452
Thomas Hatch,- - -,1,3,0,22,5,42.2,8.015626015,4.218750534,1.476562687,0.371212121,0.63583815,0.48175182,0.15217391,94.43648491,6.328125802,,5.192805831,4.86438418,-0.019816853
Justin Wilson,- - -,1,2,0,47,0,37.2,8.601772289,3.823009906,1.433628715,0.281553398,0.66513761,0.46666667,0.13636364,93.87729618,5.017700502,,4.677701495,4.652850553,-0.023118153
Stephen Strasburg,WSN,1,3,0,6,6,26.1,8.886076378,5.468354694,1.708860842,0.275362319,0.65714286,0.36111111,0.18518519,91.4060953,6.151899031,,5.704129896,4.990882284,-0.024927757
Randy Vásquez,NYY,2,2,0,9,5,31.2,7.105263729,3.978947688,1.421052746,0.204545455,0.94117647,0.36956522,0.12820513,94.58227354,2.557894942,,5.43876295,5.430092042,-0.026372492
Dylan Covey,- - -,1,3,0,26,1,40,6.075000299,3.600000177,1.125000055,0.317829457,0.73684211,0.54545455,0.15625,95.70120239,4.050000199,,4.884815487,4.587516421,-0.026824221
Silvino Bracho,- - -,0,0,0,8,0,11.2,7.714286765,5.400000736,1.542857353,0.206896552,0.75757576,0.35483871,0.13333333,92.49034454,4.628572059,,5.776501546,5.604910855,-0.028184704
Kyle Tyler,- - -,1,0,0,7,0,16.1,4.408163608,3.857143157,0.551020451,0.1875,0.85227273,0.44897959,0.05,91.03831845,2.204081804,,4.625315104,5.955065642,-0.02873303
Yusmeiro Petit,OAK,8,3,2,78,0,78,4.269231604,1.384615655,1.384615655,0.227091633,0.7208589,0.37065637,0.10619469,87.81282552,3.923077691,,4.721316477,5.277379667,-0.030247847
Junior Guerra,LAA,5,2,0,41,1,65.1,8.40306286,6.336735927,0.826530773,0.319371728,0.6598513,0.46700508,0.09375,92.30832285,6.061225669,,4.746565042,5.281042331,-0.030478612
Zack Kelly,BOS,1,0,0,19,0,21,7.285714947,4.285714675,0.857142935,0.290322581,0.78767123,0.47619048,0.08,94.87538834,3.857143207,,4.497232022,5.081233626,-0.030907647
Trey Wingenter,DET,1,0,0,13,0,12,12.75000101,4.500000358,1.500000119,0.379310345,0.71428571,0.4516129,0.18181818,95.92881944,6.000000477,,4.593148846,3.947806132,-0.031748876
Colin Selby,PIT,2,1,0,17,5,20.2,11.75806596,5.225807095,1.741935698,0.32,0.56818182,0.45283019,0.22222222,,7.403226717,,4.9049769,3.834328607,-0.032131359
Justin Grimm,OAK,0,0,0,15,0,15.1,6.456523078,4.108696504,0.586956643,0.34,0.7421875,0.41176471,0.05263158,93.03768332,4.108696504,,4.286344289,5.272889189,-0.033692963
Matt Carasiti,COL,1,0,1,16,0,24.1,5.917809456,4.068494001,1.109589273,0.316455696,0.58659218,0.56097561,0.16666667,95.02690125,6.287672547,,5.026939064,4.651867945,-0.033761151
Shaun Anderson,- - -,0,0,0,17,0,24.1,7.027397903,4.43835657,1.47945219,0.382978723,0.45454545,0.41836735,0.09756098,93.27623233,8.876713141,,5.469036944,6.269867251,-0.036217043
Beau Sulser,- - -,0,0,0,10,0,22.1,7.656717181,3.626866033,1.208955344,0.313432836,0.67114094,0.47142857,0.125,93.11458456,3.626866033,,4.500490841,4.345066902,-0.0374318
Sean Nolin,- - -,0,2,0,11,5,29.2,6.674157661,4.550562042,1.820224817,0.34375,0.77731092,0.35,0.15,90.74414159,5.764045253,,6.044281822,5.769270576,-0.038171716
Jordan Weems,- - -,4,2,0,85,0,96.1,9.529413589,3.923876184,1.588235598,0.234567901,0.68277311,0.3618677,0.14655172,96.42362601,4.671281171,,4.77170143,4.380979393,-0.040474817
Austin Brice,- - -,0,0,0,17,0,20.1,7.52459134,4.4262302,0.88524604,0.275862069,0.65068493,0.46666667,0.08333333,93.17708228,5.75409926,,4.823279261,5.543315507,-0.04278332
Blake Taylor,HOU,5,5,0,70,0,58.2,7.670457122,4.909092558,1.073863997,0.265895954,0.78740157,0.42134831,0.09859155,93.03499285,3.375001134,,4.688415605,5.195106016,-0.04280135
Andrew Miller,STL,0,0,0,40,0,36,10.00000212,4.000000848,1.250000265,0.367346939,0.78181818,0.43564356,0.13157895,88.30475655,4.750001007,,4.503367738,4.56019444,-0.042991739
Nate Pearson,TOR,6,3,1,45,1,55,9.981819047,4.581818579,1.4727274,0.271428571,0.68807339,0.33557047,0.11842105,97.85457807,4.909091335,,4.83532974,5.035635886,-0.043837601
Tucker Davidson,- - -,3,9,2,49,16,120,7.200000687,4.500000429,1.200000114,0.308943089,0.65092166,0.44297082,0.12030075,92.54151117,6.000000572,,4.964318784,4.994623456,-0.0459154
Humberto Mejía,ARI,0,3,0,5,5,22.1,8.059701951,3.626865878,2.014925488,0.38028169,0.64705882,0.29333333,0.17241379,92.22555866,7.253731756,,5.498392464,4.878982056,-0.045983307
Eric Stout,- - -,0,0,1,20,0,22.1,10.07463002,6.447763213,0.805970402,0.359375,0.7038835,0.34848485,0.06451613,92.20390563,5.641792811,,4.590043405,5.480705692,-0.046669569
Ronald Bolaños,KCR,0,0,0,11,0,24.2,8.027027544,5.108108437,0.729729777,0.309859155,0.81151832,0.49315068,0.08333333,93.90370088,3.648648884,,4.465058916,4.920443623,-0.047382891
Konner Wade,BAL,0,0,0,7,0,12.1,8.027028475,3.648649307,2.189189584,0.444444444,0.50420168,0.41666667,0.15789474,90.3603007,11.67567778,,5.764629185,5.320538327,-0.048141524
Eduard Bazardo,- - -,1,0,0,22,0,30,7.200000458,2.100000134,1.500000095,0.255813953,0.86206897,0.40659341,0.13513514,94.42494081,3.30000021,,4.637261418,4.409443276,-0.048290728
Taylor Williams,- - -,0,0,0,11,0,11.2,6.942858089,6.171429412,0.771428677,0.314285714,0.72815534,0.44444444,0.08333333,93.76626848,4.628572059,,5.312891557,6.013378411,-0.049521029
Luis Patiño,- - -,6,5,0,31,21,112.1,8.011869935,4.166172366,1.682492686,0.28,0.72871573,0.32753623,0.12650602,95.7883166,5.047478059,,5.317167701,5.38385437,-0.049633451
Michael Feliz,- - -,0,0,1,22,0,23.1,10.02857281,3.471429049,1.928571694,0.349206349,0.5862069,0.30882353,0.16666667,94.08481501,6.557143759,,4.876091055,4.346671171,-0.050098216
Phillips Valdez,BOS,2,1,1,41,0,56.1,7.668639746,4.153846529,0.639053312,0.272151899,0.5721393,0.58125,0.0952381,,5.431953153,,4.449190731,4.776018641,-0.052139804
Drew Rom,STL,1,2,0,5,5,22.2,7.147059625,5.161765285,1.588235472,0.319444444,0.66860465,0.46052632,0.12903226,90.56642771,5.955883021,,5.686286267,5.661951489,-0.052180927
